Week Start Date,Product ID,Product Name,Units Sold,Price ($),Discount Percentage,Revenue ($),Region,Gas Price,CPI
2024-01-14,21,Product_21,111,10.18,10.0,1018.33,USA,3.073,309.794
2024-01-14,22,Product_22,84,10.66,20.0,715.59,USA,3.073,309.794
2024-01-14,23,Product_23,53,10.31,10.0,488.55,USA,3.073,309.794
2024-01-14,24,Product_24,80,11.97,0.0,957.03,USA,3.073,309.794
2024-01-14,25,Product_25,98,10.13,0.0,987.72,USA,3.073,309.794
2024-01-14,26,Product_26,111,10.62,0.0,1182.14,USA,3.073,309.794
2024-01-14,27,Product_27,110,11.96,10.0,1180.19,USA,3.073,309.794
2024-01-14,28,Product_28,118,11.53,0.0,1365.95,USA,3.073,309.794
2024-01-14,29,Product_29,103,11.59,0.0,1192.22,USA,3.073,309.794
2024-01-14,30,Product_30,99,10.23,0.0,1014.68,USA,3.073,309.794
2024-01-14,31,Product_31,116,11.02,0.0,1278.62,USA,3.073,309.794
2024-01-14,32,Product_32,102,10.84,0.0,1100.88,USA,3.073,309.794
2024-01-14,33,Product_33,62,10.85,0.0,675.02,USA,3.073,309.794
2024-01-14,34,Product_34,88,10.91,0.0,954.81,USA,3.073,309.794
2024-01-14,35,Product_35,80,10.07,0.0,805.44,USA,3.073,309.794
2024-01-14,36,Product_36,96,10.58,0.0,1017.96,USA,3.073,309.794
2024-01-14,37,Product_37,105,11.12,0.0,1166.45,USA,3.073,309.794
2024-01-14,38,Product_38,104,11.37,0.0,1178.41,USA,3.073,309.794
2024-01-14,39,Product_39,93,10.54,10.0,884.88,USA,3.073,309.794
2024-01-14,40,Product_40,105,10.43,0.0,1099.81,USA,3.073,309.794
2024-01-14,41,Product_41,91,10.41,20.0,758.95,USA,3.073,309.794
2024-01-14,42,Product_42,142,10.04,0.0,1425.16,USA,3.073,309.794
2024-01-14,43,Product_43,150,11.96,0.0,1792.73,USA,3.073,309.794
2024-01-14,44,Product_44,95,10.97,0.0,1043.13,USA,3.073,309.794
2024-01-14,45,Product_45,105,10.57,10.0,997.69,USA,3.073,309.794
2024-01-14,46,Product_46,99,10.73,0.0,1060.46,USA,3.073,309.794
2024-01-14,47,Product_47,132,10.09,0.0,1329.99,USA,3.073,309.794
2024-01-14,48,Product_48,121,10.2,10.0,1111.02,USA,3.073,309.794
2024-01-14,49,Product_49,123,11.03,0.0,1351.55,USA,3.073,309.794
2024-01-14,50,Product_50,116,11.75,20.0,1094.47,USA,3.073,309.794
2024-01-21,1,Product_1,120,10.91,0.0,1306.43,USA,3.058,309.794
2024-01-21,2,Product_2,103,11.47,0.0,1184.07,USA,3.058,309.794
2024-01-21,3,Product_3,89,10.35,0.0,918.54,USA,3.058,309.794
2024-01-21,4,Product_4,104,11.19,20.0,934.13,USA,3.058,309.794
2024-01-21,5,Product_5,138,10.01,20.0,1103.79,USA,3.058,309.794
2024-01-21,6,Product_6,125,11.88,0.0,1487.9,USA,3.058,309.794
2024-01-21,7,Product_7,145,10.33,0.0,1494.7,USA,3.058,309.794
2024-01-21,8,Product_8,103,11.48,10.0,1061.1,USA,3.058,309.794
2024-01-21,9,Product_9,66,11.94,0.0,787.02,USA,3.058,309.794
2024-01-21,10,Product_10,141,11.84,0.0,1675.22,USA,3.058,309.794
2024-01-21,11,Product_11,126,11.56,0.0,1451.24,USA,3.058,309.794
2024-01-21,12,Product_12,91,10.41,0.0,948.95,USA,3.058,309.794
2024-01-21,13,Product_13,92,10.66,20.0,785.13,USA,3.058,309.794
2024-01-21,14,Product_14,107,10.62,0.0,1132.89,USA,3.058,309.794
2024-01-21,15,Product_15,130,10.73,10.0,1257.56,USA,3.058,309.794
2024-01-21,16,Product_16,90,10.61,0.0,960.0,USA,3.058,309.794
2024-01-21,17,Product_17,106,11.75,0.0,1244.27,USA,3.058,309.794
2024-01-21,18,Product_18,123,11.88,20.0,1170.62,USA,3.058,309.794
2024-01-21,19,Product_19,82,10.1,0.0,824.11,USA,3.058,309.794
2024-01-21,20,Product_20,128,11.02,0.0,1411.65,USA,3.058,309.794
2024-01-21,21,Product_21,132,11.55,0.0,1526.84,USA,3.058,309.794
2024-01-21,22,Product_22,90,11.39,10.0,921.67,USA,3.058,309.794
2024-01-21,23,Product_23,90,10.2,0.0,916.9,USA,3.058,309.794
2024-01-21,24,Product_24,80,10.26,10.0,737.65,USA,3.058,309.794
2024-01-21,25,Product_25,72,11.63,20.0,666.32,USA,3.058,309.794
2024-01-21,26,Product_26,117,10.81,0.0,1262.1,USA,3.058,309.794
2024-01-21,27,Product_27,114,11.85,10.0,1213.99,USA,3.058,309.794
2024-01-21,28,Product_28,94,11.2,0.0,1050.15,USA,3.058,309.794
2024-01-21,29,Product_29,93,11.48,0.0,1070.41,USA,3.058,309.794
2024-01-21,30,Product_30,96,10.35,10.0,890.63,USA,3.058,309.794
2024-01-21,31,Product_31,121,11.19,20.0,1083.07,USA,3.058,309.794
2024-01-21,32,Product_32,137,11.72,0.0,1611.11,USA,3.058,309.794
2024-01-21,33,Product_33,131,11.97,20.0,1251.26,USA,3.058,309.794
2024-01-21,34,Product_34,148,11.81,10.0,1576.68,USA,3.058,309.794
2024-01-21,35,Product_35,102,10.61,0.0,1083.29,USA,3.058,309.794
2024-01-21,36,Product_36,117,11.92,10.0,1255.42,USA,3.058,309.794
2024-01-21,37,Product_37,92,10.2,0.0,938.46,USA,3.058,309.794
2024-01-21,38,Product_38,137,11.42,0.0,1566.7,USA,3.058,309.794
2024-01-21,39,Product_39,81,11.91,0.0,965.97,USA,3.058,309.794
2024-01-21,40,Product_40,115,10.64,10.0,1100.54,USA,3.058,309.794
2024-01-21,41,Product_41,137,10.96,10.0,1348.59,USA,3.058,309.794
2024-01-21,42,Product_42,108,10.08,0.0,1084.7,USA,3.058,309.794
2024-01-21,43,Product_43,82,11.34,0.0,933.23,USA,3.058,309.794
2024-01-21,44,Product_44,109,11.58,0.0,1262.63,USA,3.058,309.794
2024-01-21,45,Product_45,97,10.69,0.0,1041.73,USA,3.058,309.794
2024-01-21,46,Product_46,99,10.4,0.0,1030.59,USA,3.058,309.794
2024-01-21,47,Product_47,77,11.52,0.0,891.94,USA,3.058,309.794
2024-01-21,48,Product_48,134,11.07,0.0,1482.13,USA,3.058,309.794
2024-01-21,49,Product_49,121,11.55,0.0,1401.46,USA,3.058,309.794
2024-01-21,50,Product_50,114,11.64,0.0,1332.66,USA,3.058,309.794
2024-01-28,1,Product_1,148,11.7,10.0,1563.34,USA,3.062,309.794
2024-01-28,2,Product_2,106,11.92,0.0,1268.22,USA,3.062,309.794
2024-01-28,3,Product_3,114,11.83,0.0,1346.01,USA,3.062,309.794
2024-01-28,4,Product_4,99,11.63,0.0,1149.71,USA,3.062,309.794
2024-01-28,5,Product_5,79,10.04,20.0,634.9,USA,3.062,309.794
2024-01-28,6,Product_6,121,11.81,20.0,1147.87,USA,3.062,309.794
2024-01-28,7,Product_7,77,11.58,20.0,712.69,USA,3.062,309.794
2024-01-28,8,Product_8,105,10.43,10.0,989.82,USA,3.062,309.794
2024-01-28,9,Product_9,149,10.52,0.0,1563.65,USA,3.062,309.794
2024-01-28,10,Product_10,108,10.94,0.0,1185.9,USA,3.062,309.794
2024-01-28,11,Product_11,96,10.38,10.0,892.87,USA,3.062,309.794
2024-01-28,12,Product_12,97,10.45,0.0,1017.77,USA,3.062,309.794
2024-01-28,13,Product_13,110,11.14,0.0,1221.0,USA,3.062,309.794
2024-01-28,14,Product_14,124,10.21,0.0,1270.52,USA,3.062,309.794
2024-01-28,15,Product_15,137,10.02,0.0,1369.91,USA,3.062,309.794
2024-01-28,16,Product_16,123,10.75,0.0,1322.16,USA,3.062,309.794
2024-01-28,17,Product_17,117,11.33,0.0,1321.4,USA,3.062,309.794
2024-01-28,18,Product_18,77,11.25,0.0,861.89,USA,3.062,309.794
2024-01-28,19,Product_19,117,10.36,0.0,1213.65,USA,3.062,309.794
2024-01-28,20,Product_20,113,10.05,0.0,1136.35,USA,3.062,309.794
2024-01-28,21,Product_21,117,11.76,0.0,1373.98,USA,3.062,309.794
2024-01-28,22,Product_22,121,11.57,0.0,1396.47,USA,3.062,309.794
2024-01-28,23,Product_23,130,10.31,0.0,1336.18,USA,3.062,309.794
2024-01-28,24,Product_24,126,10.76,0.0,1355.42,USA,3.062,309.794
2024-01-28,25,Product_25,110,10.55,20.0,930.27,USA,3.062,309.794
2024-01-28,26,Product_26,93,10.34,10.0,861.92,USA,3.062,309.794
2024-01-28,27,Product_27,140,10.83,0.0,1519.07,USA,3.062,309.794
2024-01-28,28,Product_28,98,10.98,0.0,1072.95,USA,3.062,309.794
2024-01-28,29,Product_29,114,11.91,0.0,1359.84,USA,3.062,309.794
2024-01-28,30,Product_30,104,10.91,0.0,1135.84,USA,3.062,309.794
2024-01-28,31,Product_31,113,11.35,10.0,1159.35,USA,3.062,309.794
2024-01-28,32,Product_32,102,11.13,0.0,1132.06,USA,3.062,309.794
2024-01-28,33,Product_33,95,11.37,0.0,1076.55,USA,3.062,309.794
2024-01-28,34,Product_34,139,11.99,10.0,1496.47,USA,3.062,309.794
2024-01-28,35,Product_35,86,10.66,0.0,920.16,USA,3.062,309.794
2024-01-28,36,Product_36,54,11.15,0.0,602.47,USA,3.062,309.794
2024-01-28,37,Product_37,88,10.15,0.0,894.28,USA,3.062,309.794
2024-01-28,38,Product_38,135,11.1,0.0,1502.14,USA,3.062,309.794
2024-01-28,39,Product_39,115,10.5,10.0,1087.9,USA,3.062,309.794
2024-01-28,40,Product_40,128,11.78,20.0,1204.79,USA,3.062,309.794
2024-01-28,41,Product_41,95,10.32,0.0,980.59,USA,3.062,309.794
2024-01-28,42,Product_42,87,11.82,0.0,1033.37,USA,3.062,309.794
2024-01-28,43,Product_43,108,11.79,10.0,1146.71,USA,3.062,309.794
2024-01-28,44,Product_44,73,10.18,0.0,744.69,USA,3.062,309.794
2024-01-28,45,Product_45,119,11.0,0.0,1303.63,USA,3.062,309.794
2024-01-28,46,Product_46,75,11.54,10.0,780.39,USA,3.062,309.794
2024-01-28,47,Product_47,98,10.53,10.0,925.57,USA,3.062,309.794
2024-01-28,48,Product_48,142,11.04,0.0,1564.27,USA,3.062,309.794
2024-01-28,49,Product_49,90,10.1,0.0,905.28,USA,3.062,309.794
2024-01-28,50,Product_50,138,10.04,10.0,1247.67,USA,3.062,309.794
2024-02-04,1,Product_1,100,11.95,10.0,1070.27,USA,3.095,311.022
2024-02-04,2,Product_2,88,10.14,20.0,717.55,USA,3.095,311.022
2024-02-04,3,Product_3,97,10.65,0.0,1033.39,USA,3.095,311.022
2024-02-04,4,Product_4,96,11.14,0.0,1069.37,USA,3.095,311.022
2024-02-04,5,Product_5,169,10.4,0.0,1757.76,USA,3.095,311.022
2024-02-04,6,Product_6,112,10.17,0.0,1142.93,USA,3.095,311.022
2024-02-04,7,Product_7,129,10.04,10.0,1167.1,USA,3.095,311.022
2024-02-04,8,Product_8,110,10.66,0.0,1169.14,USA,3.095,311.022
2024-02-04,9,Product_9,145,10.07,0.0,1461.32,USA,3.095,311.022
2024-02-04,10,Product_10,63,10.93,0.0,684.88,USA,3.095,311.022
2024-02-04,11,Product_11,132,10.17,0.0,1345.23,USA,3.095,311.022
2024-02-04,12,Product_12,142,10.16,10.0,1298.13,USA,3.095,311.022
2024-02-04,13,Product_13,135,10.75,0.0,1453.39,USA,3.095,311.022
2024-02-04,14,Product_14,136,11.95,0.0,1624.47,USA,3.095,311.022
2024-02-04,15,Product_15,149,10.0,0.0,1489.28,USA,3.095,311.022
2024-02-04,16,Product_16,153,11.63,20.0,1426.58,USA,3.095,311.022
2024-02-04,17,Product_17,146,11.93,0.0,1746.06,USA,3.095,311.022
2024-02-04,18,Product_18,114,10.98,0.0,1247.34,USA,3.095,311.022
2024-02-04,19,Product_19,108,10.31,0.0,1117.55,USA,3.095,311.022
2024-02-04,20,Product_20,85,11.73,0.0,993.39,USA,3.095,311.022
2024-02-04,21,Product_21,144,10.11,0.0,1452.23,USA,3.095,311.022
2024-02-04,22,Product_22,129,10.48,0.0,1354.13,USA,3.095,311.022
2024-02-04,23,Product_23,107,10.94,0.0,1168.43,USA,3.095,311.022
2024-02-04,24,Product_24,70,11.91,0.0,832.35,USA,3.095,311.022
2024-02-04,25,Product_25,135,10.93,10.0,1325.32,USA,3.095,311.022
2024-02-04,26,Product_26,85,10.23,20.0,696.14,USA,3.095,311.022
2024-02-04,27,Product_27,98,11.25,0.0,1104.12,USA,3.095,311.022
2024-02-04,28,Product_28,104,10.23,0.0,1060.93,USA,3.095,311.022
2024-02-04,29,Product_29,114,10.36,0.0,1179.08,USA,3.095,311.022
2024-02-04,30,Product_30,122,10.21,0.0,1246.56,USA,3.095,311.022
2024-02-04,31,Product_31,153,10.84,20.0,1323.73,USA,3.095,311.022
2024-02-04,32,Product_32,107,11.38,10.0,1097.42,USA,3.095,311.022
2024-02-04,33,Product_33,100,11.93,0.0,1196.85,USA,3.095,311.022
2024-02-04,34,Product_34,93,11.3,0.0,1050.07,USA,3.095,311.022
2024-02-04,35,Product_35,104,11.62,10.0,1087.3,USA,3.095,311.022
2024-02-04,36,Product_36,121,10.39,10.0,1127.88,USA,3.095,311.022
2024-02-04,37,Product_37,101,10.44,0.0,1054.23,USA,3.095,311.022
2024-02-04,38,Product_38,102,10.7,0.0,1091.9,USA,3.095,311.022
2024-02-04,39,Product_39,116,10.07,0.0,1170.64,USA,3.095,311.022
2024-02-04,40,Product_40,96,11.71,0.0,1128.36,USA,3.095,311.022
2024-02-04,41,Product_41,163,10.35,20.0,1351.67,USA,3.095,311.022
2024-02-04,42,Product_42,88,10.65,0.0,939.41,USA,3.095,311.022
2024-02-04,43,Product_43,115,11.62,10.0,1205.97,USA,3.095,311.022
2024-02-04,44,Product_44,107,11.42,10.0,1097.18,USA,3.095,311.022
2024-02-04,45,Product_45,99,11.15,20.0,881.69,USA,3.095,311.022
2024-02-04,46,Product_46,93,11.32,0.0,1047.18,USA,3.095,311.022
2024-02-04,47,Product_47,94,10.71,10.0,902.7,USA,3.095,311.022
2024-02-04,48,Product_48,107,10.63,20.0,913.6,USA,3.095,311.022
2024-02-04,49,Product_49,102,10.91,0.0,1109.23,USA,3.095,311.022
2024-02-04,50,Product_50,96,11.22,0.0,1077.86,USA,3.095,311.022
2024-02-11,1,Product_1,124,11.96,0.0,1479.49,USA,3.136,311.022
2024-02-11,2,Product_2,80,11.15,0.0,893.28,USA,3.136,311.022
2024-02-11,3,Product_3,81,11.57,0.0,938.79,USA,3.136,311.022
2024-02-11,4,Product_4,166,11.15,0.0,1850.71,USA,3.136,311.022
2024-02-11,5,Product_5,116,10.37,20.0,962.66,USA,3.136,311.022
2024-02-11,6,Product_6,114,11.94,0.0,1356.82,USA,3.136,311.022
2024-02-11,7,Product_7,126,11.79,20.0,1188.87,USA,3.136,311.022
2024-02-11,8,Product_8,113,10.97,10.0,1114.22,USA,3.136,311.022
2024-02-11,9,Product_9,88,11.13,0.0,976.1,USA,3.136,311.022
2024-02-11,10,Product_10,92,11.72,0.0,1078.9,USA,3.136,311.022
2024-02-11,11,Product_11,91,10.89,10.0,889.89,USA,3.136,311.022
2024-02-11,12,Product_12,99,11.78,0.0,1164.86,USA,3.136,311.022
2024-02-11,13,Product_13,86,11.07,0.0,951.4,USA,3.136,311.022
2024-02-11,14,Product_14,112,11.81,0.0,1326.15,USA,3.136,311.022
2024-02-11,15,Product_15,133,11.24,0.0,1493.8,USA,3.136,311.022
2024-02-11,16,Product_16,121,10.1,10.0,1097.78,USA,3.136,311.022
2024-02-11,17,Product_17,123,11.93,0.0,1472.23,USA,3.136,311.022
2024-02-11,18,Product_18,116,10.66,0.0,1237.99,USA,3.136,311.022
2024-02-11,19,Product_19,124,10.65,0.0,1322.98,USA,3.136,311.022
2024-02-11,20,Product_20,115,11.44,0.0,1309.92,USA,3.136,311.022
2024-02-11,21,Product_21,87,11.59,0.0,1011.27,USA,3.136,311.022
2024-02-11,22,Product_22,135,10.06,20.0,1085.98,USA,3.136,311.022
2024-02-11,23,Product_23,114,10.17,0.0,1159.15,USA,3.136,311.022
2024-02-11,24,Product_24,142,11.9,0.0,1689.06,USA,3.136,311.022
2024-02-11,25,Product_25,107,10.58,0.0,1134.53,USA,3.136,311.022
2024-02-11,26,Product_26,119,10.77,0.0,1282.74,USA,3.136,311.022
2024-02-11,27,Product_27,141,11.14,0.0,1571.61,USA,3.136,311.022
2024-02-11,28,Product_28,140,11.29,0.0,1586.23,USA,3.136,311.022
2024-02-11,29,Product_29,148,10.83,0.0,1598.88,USA,3.136,311.022
2024-02-11,30,Product_30,130,10.61,10.0,1241.74,USA,3.136,311.022
2024-02-11,31,Product_31,94,10.08,0.0,947.04,USA,3.136,311.022
2024-02-11,32,Product_32,136,11.11,20.0,1209.35,USA,3.136,311.022
2024-02-11,33,Product_33,107,10.13,0.0,1082.27,USA,3.136,311.022
2024-02-11,34,Product_34,123,10.69,0.0,1311.2,USA,3.136,311.022
2024-02-11,35,Product_35,139,10.96,20.0,1219.02,USA,3.136,311.022
2024-02-11,36,Product_36,143,10.26,0.0,1470.45,USA,3.136,311.022
2024-02-11,37,Product_37,121,11.36,0.0,1376.22,USA,3.136,311.022
2024-02-11,38,Product_38,117,11.03,0.0,1288.53,USA,3.136,311.022
2024-02-11,39,Product_39,100,11.36,0.0,1134.58,USA,3.136,311.022
2024-02-11,40,Product_40,139,10.67,0.0,1484.54,USA,3.136,311.022
2024-02-11,41,Product_41,75,10.71,0.0,802.97,USA,3.136,311.022
2024-02-11,42,Product_42,115,11.98,0.0,1378.32,USA,3.136,311.022
2024-02-11,43,Product_43,122,11.05,0.0,1345.48,USA,3.136,311.022
2024-02-11,44,Product_44,97,11.29,0.0,1099.27,USA,3.136,311.022
2024-02-11,45,Product_45,108,11.86,0.0,1276.5,USA,3.136,311.022
2024-02-11,46,Product_46,131,10.11,0.0,1324.09,USA,3.136,311.022
2024-02-11,47,Product_47,133,10.33,0.0,1375.23,USA,3.136,311.022
2024-02-11,48,Product_48,135,11.77,20.0,1270.49,USA,3.136,311.022
2024-02-11,49,Product_49,68,11.62,20.0,631.02,USA,3.136,311.022
2024-02-11,50,Product_50,121,10.32,10.0,1127.29,USA,3.136,311.022
2024-02-18,1,Product_1,82,10.45,0.0,858.21,USA,3.192,311.022
2024-02-18,2,Product_2,92,11.91,10.0,984.79,USA,3.192,311.022
2024-02-18,3,Product_3,104,11.57,10.0,1078.36,USA,3.192,311.022
2024-02-18,4,Product_4,158,11.64,0.0,1843.99,USA,3.192,311.022
2024-02-18,5,Product_5,108,11.4,0.0,1232.9,USA,3.192,311.022
2024-02-18,6,Product_6,124,10.36,0.0,1287.82,USA,3.192,311.022
2024-02-18,7,Product_7,90,10.89,0.0,984.69,USA,3.192,311.022
2024-02-18,8,Product_8,115,10.07,10.0,1042.9,USA,3.192,311.022
2024-02-18,9,Product_9,95,10.76,0.0,1022.23,USA,3.192,311.022
2024-02-18,10,Product_10,131,10.66,0.0,1395.9,USA,3.192,311.022
2024-02-18,11,Product_11,145,11.56,0.0,1680.3,USA,3.192,311.022
2024-02-18,12,Product_12,80,11.73,0.0,936.08,USA,3.192,311.022
2024-02-18,13,Product_13,104,10.02,0.0,1042.95,USA,3.192,311.022
2024-02-18,14,Product_14,110,10.9,20.0,960.64,USA,3.192,311.022
2024-02-18,15,Product_15,121,10.2,20.0,984.41,USA,3.192,311.022
2024-02-18,16,Product_16,99,11.63,0.0,1149.39,USA,3.192,311.022
2024-02-18,17,Product_17,129,11.97,10.0,1388.99,USA,3.192,311.022
2024-02-18,18,Product_18,114,11.17,10.0,1143.36,USA,3.192,311.022
2024-02-18,19,Product_19,130,10.82,0.0,1401.86,USA,3.192,311.022
2024-02-18,20,Product_20,119,11.15,10.0,1191.08,USA,3.192,311.022
2024-02-18,21,Product_21,130,11.39,0.0,1482.4,USA,3.192,311.022
2024-02-18,22,Product_22,163,11.82,20.0,1544.88,USA,3.192,311.022
2024-02-18,23,Product_23,88,10.06,0.0,882.63,USA,3.192,311.022
2024-02-18,24,Product_24,141,11.72,0.0,1657.56,USA,3.192,311.022
2024-02-18,25,Product_25,129,11.55,0.0,1494.07,USA,3.192,311.022
2024-02-18,26,Product_26,112,10.52,10.0,1063.43,USA,3.192,311.022
2024-02-18,27,Product_27,112,10.7,0.0,1197.48,USA,3.192,311.022
2024-02-18,28,Product_28,114,10.94,0.0,1243.39,USA,3.192,311.022
2024-02-18,29,Product_29,134,11.59,20.0,1243.97,USA,3.192,311.022
2024-02-18,30,Product_30,137,11.93,0.0,1631.62,USA,3.192,311.022
2024-02-18,31,Product_31,133,11.75,0.0,1559.46,USA,3.192,311.022
2024-02-18,32,Product_32,95,10.01,10.0,854.8,USA,3.192,311.022
2024-02-18,33,Product_33,115,10.6,20.0,971.64,USA,3.192,311.022
2024-02-18,34,Product_34,137,10.85,10.0,1339.12,USA,3.192,311.022
2024-02-18,35,Product_35,151,10.93,10.0,1485.63,USA,3.192,311.022
2024-02-18,36,Product_36,131,11.58,0.0,1520.34,USA,3.192,311.022
2024-02-18,37,Product_37,138,10.11,0.0,1393.83,USA,3.192,311.022
2024-02-18,38,Product_38,124,10.69,0.0,1324.9,USA,3.192,311.022
2024-02-18,39,Product_39,127,11.81,10.0,1355.17,USA,3.192,311.022
2024-02-18,40,Product_40,101,10.33,0.0,1042.07,USA,3.192,311.022
2024-02-18,41,Product_41,130,11.47,0.0,1487.95,USA,3.192,311.022
2024-02-18,42,Product_42,116,11.16,0.0,1298.75,USA,3.192,311.022
2024-02-18,43,Product_43,112,10.12,0.0,1131.28,USA,3.192,311.022
2024-02-18,44,Product_44,94,11.47,0.0,1074.88,USA,3.192,311.022
2024-02-18,45,Product_45,142,11.94,0.0,1698.54,USA,3.192,311.022
2024-02-18,46,Product_46,88,10.63,0.0,934.87,USA,3.192,311.022
2024-02-18,47,Product_47,137,10.5,0.0,1442.54,USA,3.192,311.022
2024-02-18,48,Product_48,129,10.77,0.0,1385.3,USA,3.192,311.022
2024-02-18,49,Product_49,107,10.7,0.0,1139.59,USA,3.192,311.022
2024-02-18,50,Product_50,147,11.11,0.0,1637.52,USA,3.192,311.022
2024-02-25,1,Product_1,78,10.1,0.0,788.9,USA,3.269,311.022
2024-02-25,2,Product_2,145,11.67,10.0,1527.74,USA,3.269,311.022
2024-02-25,3,Product_3,142,11.76,0.0,1668.28,USA,3.269,311.022
